customer_key,customer_name,industry,vertical,address,city,county,postcode
248,Claudia Mendoza Quispe,Residential,Residential,Calle Ayacucho 214,"Moche, Trujillo",La Libertad,91287
249,Silvia Cordova Villegas,Residential,Residential,Av. Las Orquideas 704,"La Victoria, Chiclayo",Lambayeque,59522
250,Gonzalo Silva Mamani,Residential,Residential,Av. Larco 2287,"Mariano Melgar, Arequipa",Arequipa,52113
251,Katherine Villegas Soto,Residential,Residential,Jr. Benavides 1344,"San Jeronimo, Cusco",Cusco,53965
252,Sergio Alvarez Fernandez,Residential,Residential,Prol. Brasil 2132,"La Esperanza, Trujillo",La Libertad,58960
253,Daniel Medina Valenzuela,Residential,Residential,Calle San Martin 3010,"Parcona, Ica",Ica,54397
254,UNT Trujillo,Education,SMB,Jr. Comandante Espinar 1437,"Carmen de la Legua, Callao",Callao,73964
255,Alejandro Ramos Paredes,Residential,Residential,Av. Bolognesi 3061,"26 de Octubre, Piura",Piura,88858
256,Veronica Morales Aguilar,Residential,Residential,Jr. Comandante Espinar 1529,"Barranco, Lima",Lima,40013
257,Fernando Cruz Palacios,Residential,Residential,Prol. Los Cedros 2274,"San Martin de Porres, Lima",Lima,87604
258,Mariela Vera Torres,Residential,Residential,Av. Libertad 2809,"Centro, Huancayo",Junin,73620
259,Redondos,Food & Beverage,Enterprise,Calle Brasil 2410,"La Esperanza, Trujillo",La Libertad,32692
260,Mariela Huaman Romero,Residential,Residential,Av. Benavides 457,"Socabaya, Arequipa",Arequipa,99598
261,Fernando Alvarez Alvarez,Residential,Residential,Psje. Wilson 159,"Carmen de la Legua, Callao",Callao,68572
262,Ricardo Romero Ramos,Residential,Residential,Jr. Comandante Espinar 729,"Florencia de Mora, Trujillo",La Libertad,81137
263,Oscar Paredes Torres,Residential,Residential,Av. La Marina 1378,"Tambogrande, Piura",Piura,35192
264,Rosario Flores Zarate,Residential,Residential,Av. Colonial 1926,"Banos del Inca, Cajamarca",Cajamarca,55053
265,Sergio Morales Vasquez,Residential,Residential,Av. Los Alamos 2334,"Centro, Trujillo",La Libertad,35517
266,Carmen Perez Perez,Residential,Residential,Prol. Las Gardenias 292,"Cayma, Arequipa",Arequipa,35592
267,Vanessa Torres Perez,Residential,Residential,Calle Ica 2985,"Bellavista, Callao",Callao,14735
268,Jose Ramos Aguilar,Residential,Residential,Prol. Ica 2869,"Carmen de la Legua, Callao",Callao,49228
269,Vivanda,Retail,Enterprise,Psje. Caminos del Inca 719,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,40712
270,Jorge Diaz Gutierrez,Residential,Residential,Calle El Polo 1038,"Nuevo Chimbote, Chimbote",Ancash,79424
271,Wong,Retail,Enterprise,Prol. Cusco 2024,"Comas, Lima",Lima,57491
272,Manuel Jimenez Cordova,Residential,Residential,Psje. Universitaria 2085,"Santa, Chimbote",Ancash,56111
273,Eduardo Garcia Garcia,Residential,Residential,Psje. Brasil 1328,"Centro, Chimbote",Ancash,40162
274,Francisco Flores Miranda,Residential,Residential,Psje. 28 de Julio 817,"La Victoria, Chiclayo",Lambayeque,20740
275,Rosario Salazar Ramirez,Residential,Residential,Psje. Arequipa 1914,"Magdalena, Lima",Lima,39122
276,Carla Rodriguez Huaman,Residential,Residential,Psje. Ayacucho 2163,"El Porvenir, Trujillo",La Libertad,15660
277,Maria Diaz Condori,Residential,Residential,Av. Emancipacion 897,"Ventanilla, Callao",Callao,96104
278,Cerro Verde,Mining,Enterprise,Calle Universitaria 2994,"Banos del Inca, Cajamarca",Cajamarca,34725
279,ICCGSA,Construction,Enterprise,Av. Primavera 2834,"Nuevo Chimbote, Chimbote",Ancash,27816
280,Jorge Gutierrez Gomez,Residential,Residential,Prol. Wilson 913,"Parcona, Ica",Ica,96144
281,Libertador Hotels,Hospitality,SMB,Av. Los Alamos 2789,"Banos del Inca, Cajamarca",Cajamarca,48575
282,Francisco Vasquez Medina,Residential,Residential,Jr. Las Begonias 3251,"Centro, Cajamarca",Cajamarca,45945
283,Antonio Soto Ortiz,Residential,Residential,Calle Conquistadores 3307,"San Jeronimo, Cusco",Cusco,46089
284,Jimena Silva Romero,Residential,Residential,Jr. 28 de Julio 1327,"Pueblo Libre, Lima",Lima,22764
285,Rosario Soto Reyes,Residential,Residential,Psje. Libertad 955,"Huanchaco, Trujillo",La Libertad,44615
286,Eduardo Campos Carrasco,Residential,Residential,Jr. Reducto 1515,"Centro, Cajamarca",Cajamarca,31869
287,Ministerio de Educacion,Government,Government,Prol. Independencia 878,"Los Aquijes, Ica",Ica,58149
288,David Lopez Huaman,Residential,Residential,Prol. Huancavelica 2616,"Centro, Cajamarca",Cajamarca,68596
289,Eduardo Garcia Miranda,Residential,Residential,Jr. Las Palmeras 138,"Parcona, Ica",Ica,47954
290,Casa Andina,Hospitality,Enterprise,Prol. Primavera 1052,"Banos del Inca, Cajamarca",Cajamarca,22160
291,Jorge Sanchez Jimenez,Residential,Residential,Psje. 28 de Julio 2440,"Florencia de Mora, Trujillo",La Libertad,33735
292,Pablo Mamani Ruiz,Residential,Residential,Psje. San Martin 588,"Cercado, Arequipa",Arequipa,89456
293,Katherine Paredes Silva,Residential,Residential,Psje. Ica 1445,"San Martin de Porres, Lima",Lima,65138
294,Cardif,Insurance,SMB,Psje. Primavera 2600,"Jesus, Cajamarca",Cajamarca,47660
295,Vanessa Benavides Morales,Residential,Residential,Av. Independencia 1131,"Santa, Chimbote",Ancash,58748
296,Diana Valenzuela Zarate,Residential,Residential,Calle 28 de Julio 2578,"La Tinguina, Ica",Ica,66492
297,Pedro Vera Benavides,Residential,Residential,Psje. Puno 3359,"El Tambo, Huancayo",Junin,65677
298,Ana Castro Ponce,Residential,Residential,Prol. Santa Cruz 924,"La Victoria, Chiclayo",Lambayeque,69370
299,Lindley,Food & Beverage,Enterprise,Prol. Bolognesi 2179,"Pimentel, Chiclayo",Lambayeque,45697
300,Pablo Rodriguez Morales,Residential,Residential,Jr. Los Cedros 2989,"Castilla, Piura",Piura,22806
301,Mariela Palacios Espinoza,Residential,Residential,Av. Universitaria 395,"Subtanjalla, Ica",Ica,24082
302,Ana Jimenez Campos,Residential,Residential,Jr. 28 de Julio 2730,"Centro, Callao",Callao,67559
303,Elizabeth Nunez Ramos,Residential,Residential,Psje. Los Cedros 908,"Centro, Trujillo",La Libertad,87344
304,BNP Paribas Cardif,Insurance,SMB,Jr. Bolognesi 2952,"Huanchaco, Trujillo",La Libertad,69308
305,Gabriela Valenzuela Perez,Residential,Residential,Av. Larco 155,"Chilca, Huancayo",Junin,71638
306,Fernanda Fernandez Reyes,Residential,Residential,Calle Los Pinos 1544,"Huanchaco, Trujillo",La Libertad,28945
307,Entel Peru,Telecommunications,Enterprise,Psje. La Encalada 3483,"Los Aquijes, Ica",Ica,17086
308,Lorena Herrera Valenzuela,Residential,Residential,Psje. Comandante Espinar 586,"La Victoria, Chiclayo",Lambayeque,96140
309,Caja Huancayo,Banking,Enterprise,Av. Santa Cruz 1054,"Huancan, Huancayo",Junin,74066
310,Jimena Medina Castro,Residential,Residential,Prol. Caminos del Inca 879,"Socabaya, Arequipa",Arequipa,30127
311,Antonio Mamani Zarate,Residential,Residential,Psje. El Polo 1644,"Banos del Inca, Cajamarca",Cajamarca,56986
312,Ivan Herrera Vargas,Residential,Residential,Prol. El Polo 2974,"Centro, Chimbote",Ancash,94094
313,Paz Centenario,Real Estate,SMB,Prol. Las Palmeras 1513,"Pimentel, Chiclayo",Lambayeque,20538
314,Mario Reyes Huaman,Residential,Residential,Av. Tacna 1318,"Centro, Callao",Callao,33602
315,Gabriel Salazar Garcia,Residential,Residential,Psje. Grau 2865,"Carabayllo, Lima",Lima,59766
316,Cayetano Heredia,Education,Enterprise,Psje. Los Alamos 768,"Centro, Chiclayo",Lambayeque,23867
317,Maria Benavides Vega,Residential,Residential,Psje. La Encalada 1296,"Pilcomayo, Huancayo",Junin,17246
318,Natalia Vera Gonzalez,Residential,Residential,Jr. Santa Cruz 710,"Pimentel, Chiclayo",Lambayeque,40374
319,Rosa Vega Castro,Residential,Residential,Prol. Conquistadores 2402,"Barranco, Lima",Lima,57135
320,Juan Valenzuela Gonzalez,Residential,Residential,Calle Ayacucho 1565,"El Porvenir, Trujillo",La Libertad,93678
321,Lorena Ponce Villegas,Residential,Residential,Calle Independencia 2144,"La Tinguina, Ica",Ica,39233
322,Banco de Credito del Peru,Banking,Enterprise,Prol. Los Jazmines 216,"26 de Octubre, Piura",Piura,21129
323,Lucia Fernandez Mamani,Residential,Residential,Calle Independencia 2970,"Victor Larco Herrera, Trujillo",La Libertad,62415
324,Carmen Castillo Herrera,Residential,Residential,Psje. Wilson 3486,"San Juan Bautista, Iquitos",Loreto,82665
325,SEAL Arequipa,Energy,Enterprise,Jr. Javier Prado 1541,"Castilla, Piura",Piura,13611
326,Sergio Medina Castillo,Residential,Residential,Psje. Grau 3427,"Centro, Chiclayo",Lambayeque,36145
327,Paola Vera Salazar,Residential,Residential,Psje. Benavides 3048,"Centro, Cajamarca",Cajamarca,80796
328,Valeria Zarate Gonzalez,Residential,Residential,Av. Ica 2984,"San Borja, Lima",Lima,31196
329,Paola Vasquez Cruz,Residential,Residential,Prol. Las Gardenias 151,"Coishco, Chimbote",Ancash,31278
330,Carolina Herrera Cruz,Residential,Residential,Jr. Los Alamos 979,"San Juan Bautista, Iquitos",Loreto,10118
331,Carlos Ramirez Ramirez,Residential,Residential,Calle Los Eucaliptos 2620,"Centro, Huancayo",Junin,66073
332,Diana Gomez Lopez,Residential,Residential,Av. Las Orquideas 1537,"La Tinguina, Ica",Ica,42428
333,Eduardo Benavides Ponce,Residential,Residential,Av. Independencia 1286,"Castilla, Piura",Piura,69669
334,Clinica Ricardo Palma,Healthcare,Enterprise,Calle Independencia 2231,"Centro, Iquitos",Loreto,42928
335,Petroperu,Energy,Enterprise,Calle Brasil 2426,"Ventanilla, Callao",Callao,81701
336,Gabriela Aguilar Nunez,Residential,Residential,Jr. La Encalada 2161,"Centro, Iquitos",Loreto,81196
337,Rosa Silva Vega,Residential,Residential,Calle Brasil 3004,"La Victoria, Chiclayo",Lambayeque,78803
338,UNI,Education,Enterprise,Prol. Grau 2846,"San Juan Bautista, Iquitos",Loreto,57166
339,Francisco Jimenez Soto,Residential,Residential,Av. Ayacucho 177,"La Tinguina, Ica",Ica,40685
340,Sergio Ponce Caceres,Residential,Residential,Av. Libertad 286,"Parcona, Ica",Ica,68486
341,P&G Peru,Food & Beverage,Enterprise,Av. Tacna 461,"La Esperanza, Trujillo",La Libertad,37645
342,Jimena Nunez Fernandez,Residential,Residential,Calle Los Alamos 1358,"El Porvenir, Trujillo",La Libertad,54593
343,Victor Ruiz Cruz,Residential,Residential,Psje. Los Cedros 3261,"San Jeronimo, Cusco",Cusco,59586
344,Javier Perez Martinez,Residential,Residential,Prol. Puno 2077,"Centro, Iquitos",Loreto,80993
345,Claudia Carrasco Vargas,Residential,Residential,Calle Ica 1171,"El Porvenir, Trujillo",La Libertad,97958
346,Sergio Ramos Quispe,Residential,Residential,Av. Caminos del Inca 2082,"Centro Historico, Cusco",Cusco,51612
347,Lucia Paredes Gomez,Residential,Residential,Calle Conquistadores 3088,"Huancan, Huancayo",Junin,84876
348,Elizabeth Rivera Rojas,Residential,Residential,Jr. Los Alamos 2802,"Centro, Chiclayo",Lambayeque,71379
349,Roberto Alvarez Zarate,Residential,Residential,Jr. Larco 998,"Villa El Salvador, Lima",Lima,41747
350,Novotel,Hospitality,Enterprise,Prol. Universitaria 2019,"Pueblo Libre, Lima",Lima,93364
351,Abril Grupo,Real Estate,Enterprise,Prol. Los Cedros 2465,"Centro, Ica",Ica,46292
352,Paola Salazar Jimenez,Residential,Residential,Jr. Independencia 303,"Llacanora, Cajamarca",Cajamarca,30164
353,OHL Peru,Construction,SMB,Prol. Brasil 2116,"El Porvenir, Trujillo",La Libertad,71115
354,Carla Jimenez Hernandez,Residential,Residential,Prol. Brasil 2526,"26 de Octubre, Piura",Piura,84249
355,Grana y Montero,Construction,SMB,Jr. La Encalada 579,"Centro, Cajamarca",Cajamarca,15385
356,Milagros Herrera Medina,Residential,Residential,Jr. Emancipacion 1296,"Los Aquijes, Ica",Ica,69689
357,Hilton Lima,Hospitality,Enterprise,Prol. Las Palmeras 2962,"Centro, Chimbote",Ancash,55986
358,Carla Gomez Flores,Residential,Residential,Calle Grau 326,"La Punta, Callao",Callao,95197
359,Viva GyM,Real Estate,Enterprise,Psje. Los Pinos 565,"Nuevo Chimbote, Chimbote",Ancash,19516
360,ISIL,Education,Enterprise,Prol. Conquistadores 1485,"Chilca, Huancayo",Junin,29386
361,Hector Gutierrez Castro,Residential,Residential,Psje. Los Jazmines 1320,"Santa, Chimbote",Ancash,32733
362,Diana Palacios Vargas,Residential,Residential,Jr. Las Orquideas 698,"Pueblo Libre, Lima",Lima,11423
363,Oscar Arias Caceres,Residential,Residential,Psje. Javier Prado 1014,"Hunter, Arequipa",Arequipa,89696
364,Carmen Rivera Martinez,Residential,Residential,Av. Larco 932,"La Molina, Lima",Lima,59690
365,Fernanda Fernandez Espinoza,Residential,Residential,Av. La Marina 1653,"El Tambo, Huancayo",Junin,84598
366,Fernanda Aguilar Rodriguez,Residential,Residential,Jr. Emancipacion 2345,"Santa Rosa, Chiclayo",Lambayeque,59067
367,Ivan Caceres Sanchez,Residential,Residential,Prol. Primavera 3269,"Carabayllo, Lima",Lima,15108
368,Silvia Gomez Salazar,Residential,Residential,Prol. Los Alamos 1906,"Santa, Chimbote",Ancash,47759
369,Miguel Aguilar Villegas,Residential,Residential,Calle Las Begonias 532,"Chilca, Huancayo",Junin,35030
370,Ivan Flores Quispe,Residential,Residential,Jr. Reducto 2923,"Huancan, Huancayo",Junin,70125
371,Juan Ortiz Castro,Residential,Residential,Calle Bolognesi 1872,"Chilca, Huancayo",Junin,54188
372,Diana Ponce Caceres,Residential,Residential,Calle Caminos del Inca 1800,"Santa, Chimbote",Ancash,20959
373,Patricia Gomez Herrera,Residential,Residential,Psje. La Encalada 3039,"Belen, Iquitos",Loreto,91890
374,Pilar Chavez Castillo,Residential,Residential,Psje. Santa Cruz 3071,"Carmen de la Legua, Callao",Callao,72307
375,Oscar Perez Vera,Residential,Residential,Av. 28 de Julio 1915,"Llacanora, Cajamarca",Cajamarca,21280
376,Elizabeth Cordova Sanchez,Residential,Residential,Prol. Arequipa 1121,"Centro, Huancayo",Junin,98192
377,Ana Soto Silva,Residential,Residential,Calle Independencia 1683,"Los Aquijes, Ica",Ica,30144
378,Andrea Salazar Herrera,Residential,Residential,Calle Los Alamos 877,"Parcona, Ica",Ica,70619
379,Arturo Gutierrez Valenzuela,Residential,Residential,Jr. Benavides 2367,"Centro, Piura",Piura,60916
380,Hugo Rodriguez Ortiz,Residential,Residential,Calle Libertad 2869,"Parcona, Ica",Ica,24708
381,Luis Ortiz Flores,Residential,Residential,Prol. Libertad 1390,"Jesus Maria, Lima",Lima,89346
382,Marisol Torres Arias,Residential,Residential,Calle La Encalada 442,"San Juan Bautista, Iquitos",Loreto,98324
383,Pablo Cordova Cruz,Residential,Residential,Calle Los Cedros 2947,"Centro, Ica",Ica,84287
384,Vanessa Gutierrez Condori,Residential,Residential,Av. Primavera 1398,"Cercado, Arequipa",Arequipa,85337
385,Ximena Vasquez Lopez,Residential,Residential,Calle Libertad 1471,"Castilla, Piura",Piura,26567
386,Hugo Ortiz Caceres,Residential,Residential,Calle 28 de Julio 281,"Independencia, Lima",Lima,75791
387,Banco Ripley,Banking,Enterprise,Jr. Las Begonias 1514,"Cayma, Arequipa",Arequipa,29239
388,Rosario Ortiz Miranda,Residential,Residential,Av. Colonial 3142,"Castilla, Piura",Piura,50736
389,Victor Silva Diaz,Residential,Residential,Av. Brasil 842,"Santa Rosa, Chiclayo",Lambayeque,29070
390,Andres Jimenez Arias,Residential,Residential,Jr. Ayacucho 318,"Santiago, Cusco",Cusco,48596
391,Vanessa Salazar Benavides,Residential,Residential,Calle Santa Cruz 2163,"El Tambo, Huancayo",Junin,62027
392,Rosario Zarate Gomez,Residential,Residential,Calle Las Gardenias 975,"Comas, Lima",Lima,63610
393,Scotiabank Peru,Banking,Enterprise,Jr. 28 de Julio 2334,"Centro, Huancayo",Junin,82261
394,Roberto Castro Flores,Residential,Residential,Av. San Martin 1240,"Yanahuara, Arequipa",Arequipa,32597
395,Ivan Vasquez Lopez,Residential,Residential,Prol. Las Palmeras 3165,"Nuevo Chimbote, Chimbote",Ancash,71332
396,Pedro Gutierrez Cruz,Residential,Residential,Jr. Larco 2063,"Santa, Chimbote",Ancash,25134
397,Fernando Caceres Rojas,Residential,Residential,Psje. Las Gardenias 322,"Centro Historico, Cusco",Cusco,73290
398,Patricia Salazar Reyes,Residential,Residential,Prol. Ayacucho 1444,"Parcona, Ica",Ica,17841
399,San Martin Contratistas,Construction,Enterprise,Psje. Primavera 477,"Paucarpata, Arequipa",Arequipa,38604
400,Carolina Perez Soto,Residential,Residential,Jr. Los Cedros 2857,"Villa El Salvador, Lima",Lima,69693
401,Raul Gonzalez Silva,Residential,Residential,Prol. Ica 1224,"Ventanilla, Callao",Callao,67229
402,Jose Rojas Rojas,Residential,Residential,Calle Ica 1155,"Pilcomayo, Huancayo",Junin,16362
403,Sergio Paredes Vasquez,Residential,Residential,Calle La Encalada 2937,"Hunter, Arequipa",Arequipa,48478
404,Ricardo Paredes Gutierrez,Residential,Residential,Calle Tacna 2123,"Wanchaq, Cusco",Cusco,83367
405,Sheraton Lima,Hospitality,SMB,Av. Javier Prado 2409,"Ventanilla, Callao",Callao,99333
406,Cesar Martinez Rojas,Residential,Residential,Calle Huancavelica 3313,"Wanchaq, Cusco",Cusco,83082
407,Pilar Fernandez Reyes,Residential,Residential,Jr. Las Palmeras 303,"San Miguel, Lima",Lima,27677
408,Carlos Huaman Fernandez,Residential,Residential,Jr. Comandante Espinar 1270,"Castilla, Piura",Piura,59469
409,Andrea Rodriguez Gutierrez,Residential,Residential,Av. Las Gardenias 2234,"Hunter, Arequipa",Arequipa,24125
410,Gold Fields,Mining,Enterprise,Av. Javier Prado 1359,"Los Aquijes, Ica",Ica,25069
411,Hugo Garcia Vargas,Residential,Residential,Calle Los Cedros 2741,"Jose Leonardo Ortiz, Chiclayo",Lambayeque,41832
412,Karina Cordova Mendoza,Residential,Residential,Av. Bolognesi 3112,"Chilca, Huancayo",Junin,71607
413,Javier Ortiz Alvarez,Residential,Residential,Prol. Emancipacion 3422,"Santa, Chimbote",Ancash,62515
414,Gabriel Fernandez Rivera,Residential,Residential,Av. La Marina 1576,"Paucarpata, Arequipa",Arequipa,45545
415,Aje Group,Food & Beverage,SMB,Calle Libertad 2886,"Socabaya, Arequipa",Arequipa,12745
416,Gabriel Ponce Ortiz,Residential,Residential,Calle Los Jazmines 979,"Centro, Trujillo",La Libertad,64294
417,Ana Delgado Quispe,Residential,Residential,Av. Ayacucho 1540,"Chorrillos, Lima",Lima,85119
418,David Aguilar Rivera,Residential,Residential,Psje. Caminos del Inca 1466,"Mariano Melgar, Arequipa",Arequipa,39188
419,Eduardo Ramirez Cruz,Residential,Residential,Psje. Brasil 3122,"Parcona, Ica",Ica,73000
420,UPC,Education,Enterprise,Calle Los Pinos 1398,"Bellavista, Callao",Callao,90590
421,Coca Cola Peru,Food & Beverage,Enterprise,Prol. Huancavelica 2795,"Llacanora, Cajamarca",Cajamarca,91462
422,Carla Ramirez Vargas,Residential,Residential,Calle Arequipa 371,"La Victoria, Chiclayo",Lambayeque,89128
423,Jessica Ruiz Romero,Residential,Residential,Av. 28 de Julio 2312,"Belen, Iquitos",Loreto,49079
424,Monica Carrasco Garcia,Residential,Residential,Jr. Reducto 1476,"Moche, Trujillo",La Libertad,35389
425,Pacifico Seguros,Insurance,Enterprise,Jr. Tacna 764,"Santa Rosa, Chiclayo",Lambayeque,16088
426,Rosario Martinez Torres,Residential,Residential,Psje. Huancavelica 465,"Centro, Chimbote",Ancash,12327
427,Monica Condori Castillo,Residential,Residential,Calle Cusco 2436,"Los Olivos, Lima",Lima,74452
428,Mario Gutierrez Caceres,Residential,Residential,Av. Comandante Espinar 1774,"Llacanora, Cajamarca",Cajamarca,74883
429,Gisela Vasquez Ortiz,Residential,Residential,Prol. Ayacucho 2428,"San Jeronimo, Cusco",Cusco,97411
430,Oscar Garcia Cordova,Residential,Residential,Psje. Javier Prado 3121,"Punchana, Iquitos",Loreto,96072
431,Gisela Morales Mendoza,Residential,Residential,Psje. Universitaria 3249,"Pilcomayo, Huancayo",Junin,76136
432,Daniela Romero Chavez,Residential,Residential,Psje. Universitaria 2375,"Belen, Iquitos",Loreto,87117
433,Victor Salazar Delgado,Residential,Residential,Prol. Javier Prado 1400,"El Tambo, Huancayo",Junin,94334
434,Carlos Garcia Carrasco,Residential,Residential,Psje. Puno 3475,"Centro, Huancayo",Junin,16637
435,DirectTV Peru,Telecommunications,Enterprise,Psje. Santa Cruz 588,"La Tinguina, Ica",Ica,66020
436,Carmen Villegas Huaman,Residential,Residential,Calle Grau 998,"Subtanjalla, Ica",Ica,69021
437,Rimac Seguros,Insurance,Enterprise,Jr. Comandante Espinar 444,"Jesus Maria, Lima",Lima,65132
438,Rosario Gomez Flores,Residential,Residential,Calle Brasil 3399,"Moche, Trujillo",La Libertad,60147
439,Ximena Soto Hernandez,Residential,Residential,Prol. Las Palmeras 2894,"Comas, Lima",Lima,21267
440,Valeria Martinez Perez,Residential,Residential,Av. Abancay 3064,"Subtanjalla, Ica",Ica,60277
441,Caja Trujillo,Banking,Enterprise,Prol. Abancay 3343,"Carmen de la Legua, Callao",Callao,23477
442,Miguel Rojas Gomez,Residential,Residential,Prol. Primavera 598,"Coishco, Chimbote",Ancash,94903
443,SUNAT,Government,Government,Prol. Las Orquideas 2257,"Yanahuara, Arequipa",Arequipa,55691
444,Sandra Castillo Chavez,Residential,Residential,Calle Brasil 611,"Cercado, Arequipa",Arequipa,40010
445,Carmen Paredes Caceres,Residential,Residential,Calle San Martin 2588,"Centro, Piura",Piura,82003
446,Buenaventura,Mining,Enterprise,Prol. Universitaria 2544,"Carmen de la Legua, Callao",Callao,93360
447,Flor Hernandez Castillo,Residential,Residential,Calle Puno 3486,"Yanahuara, Arequipa",Arequipa,84632
448,Pecsa,Energy,Enterprise,Jr. Benavides 2040,"Centro, Chimbote",Ancash,22141
449,Fernanda Lopez Rojas,Residential,Residential,Calle Primavera 791,"Centro, Ica",Ica,66296
450,America Movil,Telecommunications,Enterprise,Psje. Caminos del Inca 161,"Santiago, Cusco",Cusco,62035
451,Katherine Ortiz Romero,Residential,Residential,Jr. Primavera 633,"Nuevo Chimbote, Chimbote",Ancash,75452
452,Daniela Benavides Ramirez,Residential,Residential,Av. Las Palmeras 2642,"Ate, Lima",Lima,33916
453,Milagros Quispe Morales,Residential,Residential,Jr. Cusco 433,"La Punta, Callao",Callao,69688
454,Miguel Cruz Carrasco,Residential,Residential,Jr. Larco 1474,"San Sebastian, Cusco",Cusco,93648
455,Municipalidad de Lima,Government,Government,Prol. Universitaria 2945,"La Victoria, Chiclayo",Lambayeque,95279
456,Laive,Food & Beverage,Enterprise,Jr. Javier Prado 1428,"Chilca, Huancayo",Junin,54372
457,Carmen Alvarez Fernandez,Residential,Residential,Psje. Primavera 2184,"Centro, Trujillo",La Libertad,75723
458,Victor Gutierrez Rivera,Residential,Residential,Prol. Colonial 2814,"Independencia, Lima",Lima,80180
459,Gisela Ramirez Romero,Residential,Residential,Jr. Benavides 1168,"Castilla, Piura",Piura,16678
460,Ripley,Retail,SMB,Prol. Larco 3181,"Centro, Ica",Ica,93376
461,Gustavo Soto Miranda,Residential,Residential,Calle Conquistadores 3167,"San Juan Bautista, Iquitos",Loreto,51309
462,Vanessa Palacios Palacios,Residential,Residential,Prol. Las Gardenias 1602,"Paucarpata, Arequipa",Arequipa,43585
463,Pablo Mamani Mamani,Residential,Residential,Av. Los Cedros 3003,"Centro, Iquitos",Loreto,21915
464,Francisco Aguilar Vargas,Residential,Residential,Psje. Libertad 2368,"Mariano Melgar, Arequipa",Arequipa,37876
465,Roberto Alvarez Mamani,Residential,Residential,Calle Abancay 513,"Yanahuara, Arequipa",Arequipa,35199
466,Diego Martinez Torres,Residential,Residential,Av. Cusco 1884,"Belen, Iquitos",Loreto,66735
467,Antonio Morales Arias,Residential,Residential,Prol. Javier Prado 1822,"Centro, Cajamarca",Cajamarca,37205
468,Carmen Delgado Cordova,Residential,Residential,Av. Emancipacion 2848,"Breña, Lima",Lima,80162
469,Mariana Gonzalez Rivera,Residential,Residential,Jr. Cusco 306,"Wanchaq, Cusco",Cusco,52664
470,Sergio Torres Paredes,Residential,Residential,Jr. Huancavelica 3431,"Centro, Ica",Ica,96005
471,Carmen Ramirez Ramirez,Residential,Residential,Psje. Ica 1977,"Banos del Inca, Cajamarca",Cajamarca,70252
472,Alberto Garcia Gutierrez,Residential,Residential,Prol. La Encalada 116,"La Victoria, Chiclayo",Lambayeque,18139
473,Vanessa Campos Lopez,Residential,Residential,Jr. Los Alamos 2526,"Centro Historico, Cusco",Cusco,50892
474,Ricardo Flores Vasquez,Residential,Residential,Psje. Emancipacion 1596,"San Juan de Lurigancho, Lima",Lima,31962
475,Veronica Ponce Salazar,Residential,Residential,Psje. Comandante Espinar 1996,"Centro, Chiclayo",Lambayeque,15960
476,Carla Sanchez Aguilar,Residential,Residential,Prol. Emancipacion 3312,"Pimentel, Chiclayo",Lambayeque,33928
477,Fernanda Campos Castillo,Residential,Residential,Prol. Brasil 2649,"La Victoria, Chiclayo",Lambayeque,81043
478,Veronica Torres Fernandez,Residential,Residential,Jr. 28 de Julio 2492,"Victor Larco Herrera, Trujillo",La Libertad,89328
479,Ximena Mendoza Delgado,Residential,Residential,Prol. Las Begonias 258,"San Jeronimo, Cusco",Cusco,73334
480,Roberto Jimenez Flores,Residential,Residential,Calle La Encalada 935,"Miraflores, Lima",Lima,79711
481,Flor Silva Hernandez,Residential,Residential,Av. Los Jazmines 3423,"Llacanora, Cajamarca",Cajamarca,92031
482,Flor Vasquez Nunez,Residential,Residential,Jr. Comandante Espinar 3112,"Pimentel, Chiclayo",Lambayeque,38798
483,Marco Vega Salazar,Residential,Residential,Calle Las Begonias 2966,"Centro, Chiclayo",Lambayeque,48439
484,Mariela Carrasco Paredes,Residential,Residential,Jr. Puno 934,"Punchana, Iquitos",Loreto,19552
485,Costa del Sol,Hospitality,Enterprise,Prol. Ayacucho 1183,"Centro, Cajamarca",Cajamarca,11542
486,Vanessa Soto Rodriguez,Residential,Residential,Av. Los Alamos 138,"Centro, Ica",Ica,27200
487,Sandra Zarate Rivera,Residential,Residential,Jr. Benavides 1806,"Parcona, Ica",Ica,11574
488,Andrea Paredes Quispe,Residential,Residential,Psje. Los Pinos 386,"Barranco, Lima",Lima,23905
489,Gabriel Quispe Rodriguez,Residential,Residential,Av. Javier Prado 490,"Huanchaco, Trujillo",La Libertad,41558
490,Francisco Reyes Gonzalez,Residential,Residential,Calle 28 de Julio 994,"26 de Octubre, Piura",Piura,95425
491,Julio Nunez Cruz,Residential,Residential,Psje. Tacna 767,"Nuevo Chimbote, Chimbote",Ancash,76098
492,Monica Perez Salazar,Residential,Residential,Jr. Las Orquideas 2805,"Centro Historico, Cusco",Cusco,57125
493,Paola Zarate Paredes,Residential,Residential,Jr. San Martin 647,"Belen, Iquitos",Loreto,60626
494,Juan Carrasco Vera,Residential,Residential,Prol. Los Jazmines 525,"Banos del Inca, Cajamarca",Cajamarca,64001
495,Paola Ponce Campos,Residential,Residential,Jr. La Encalada 228,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,67011
496,Gonzalo Fernandez Mendoza,Residential,Residential,Av. Las Gardenias 905,"Belen, Iquitos",Loreto,86535
